Date,Open,High,Low,Close,rsi,ema_fast,ema_slow,volatility,target
2000-01-03,6.281,633,6.235,6.272,,,,,0
2000-01-10,6.271,629,6.181,6.197,,,,,0
2000-01-17,0.62,6.225,6.072,609,,,,,1
2000-01-24,6.091,61.271,599,6.027,,,,,1
2000-01-31,6.021,6.267,598,6.158,,,,,0
2000-02-07,6.166,6.209,6.102,6.192,,,,,0
2000-02-14,6.192,6.232,6.117,6.157,,,,,1
2000-02-21,6.161,6.265,0.61,6.114,,,,,1
2000-02-28,6.117,6.174,5.929,606,,,,,0
2000-03-06,6.059,6.132,602,6.102,,,,,0
2000-03-13,6.103,6.186,6.094,6.174,,,,,0
2000-03-20,6.174,621,6.078,6.133,,,,,0
2000-03-27,6.133,6.141,5.949,6.008,,,,,0
2000-04-03,6.009,6.105,5.958,6.036,,6.122.857.142.857.140,,,0
2000-04-10,6.037,6.095,5.986,6.072,3.871.331.828.442.430,611.607.619.047.619,,24.728.260.869.565.200,0
2000-04-17,6.071,6.083,5.912,5.938,3.329.102.583.246.220,6.092.332.698.412.690,,25.537.097.627.868.900,1
2000-04-24,5.944,5.977,5.743,5.863,3.069.928.292.254.070,6.061.755.005.291.000,,2.686.716.593.511.010,1
2000-05-01,5.869,5.921,5.679,5.876,31.691.949.510.873.400,6.036.987.671.252.200,,27.834.636.297.872.200,1
2000-05-08,5.883,6.083,5.817,6.037,426.485.809.122.131,6.036.989.315.085.240,,28.304.410.865.399.800,1
2000-05-15,6.036,6.084,5.958,6.036,4.260.287.179.399.450,6.036.857.406.407.210,,27.778.075.228.716.300,1
2000-05-22,6.037,6.317,6.028,6.252,5.405.687.340.747.630,6.065.543.085.552.910,,28.204.574.616.658.800,0
2000-05-29,6.253,6.285,6.196,6.255,5.419.359.762.515.170,6.090.804.007.479.190,,27.193.730.804.425.700,1
2000-06-05,6.253,6.377,6.218,6.317,5.703.906.581.312.140,6.120.963.473.148.630,,2.680.135.485.155.560,0
2000-06-12,6.316,6.416,6.257,6.361,5.898.623.145.379.910,6.152.968.343.395.480,,26.500.258.963.826.400,0
2000-06-19,6.364,63.939,6.175,6.231,5.155.179.083.780.990,6.163.372.564.276.080,,27.630.120.302.814.200,0
2000-06-26,623,6.345,6.185,6.268,53.353.799.906.379.400,6.177.322.889.039.270,,2.732.841.000.648.260,0
2000-07-03,6.272,6.361,6.248,6.254,5.255.723.214.735.580,6.187.546.503.834.030,,26.723.790.042.581.100,0
2000-07-10,6.267,63.151,6.205,6.255,5.261.165.553.270.240,6.196.540.303.322.830,,2.606.826.056.916.670,0
2000-07-17,6.248,6.281,6.141,6.166,4.740.007.715.591.220,6.192.468.262.879.780,,26.177.431.631.780.100,0
2000-07-24,6.164,623,6.127,6.146,4.629.038.436.463.480,6.186.272.494.495.810,,25.583.777.657.247.800,0
2000-07-31,614,6.198,5.998,6.027,402.520.958.096.752,6.165.036.161.896.370,,2.659.570.820.899.740,1
2000-08-07,6.025,6.078,596,6.009,39.414.585.301.583.900,614.423.134.031.019,,26.172.649.762.061.200,1
2000-08-14,6.009,6.134,5.976,6.084,4.458.801.897.461.960,6.136.200.494.935.490,,25.858.562.053.429.700,1
2000-08-21,6.089,615,6.011,613,47.546.485.401.787.800,6.135.373.762.277.430,,2.545.100.664.099.120,0
2000-08-28,613,6.176,6.014,6.153,49.012.313.239.597.400,6.137.723.927.307.100,,2.542.535.254.835.720,0
2000-09-04,6.151,6.169,6.008,6.112,46.516.805.295.789.700,6.134.294.070.332.820,,25.649.174.048.599.300,0
2000-09-11,6.111,6.173,6.039,6.098,4.566.186.407.793.280,6.129.454.860.955.110,,2.544.137.156.451.190,0
2000-09-18,6.099,6.129,5.931,6.043,42.367.451.036.337.300,6.117.927.546.161.090,,261.795.145.434.519,0
2000-09-25,6.042,6.066,595,5.986,3.921.012.461.657.170,6.100.337.206.672.950,,25.925.212.197.735.600,0
2000-10-02,5.985,603,5.967,6.001,40.467.435.926.768.800,6.087.092.245.783.220,,24.763.112.847.899.000,0
2000-10-09,6.005,6.019,5.838,5.883,3.443.388.449.495.610,6.059.879.946.345.460,,2.565.314.978.513.330,1
2000-10-16,5.882,5.923,5.775,5.785,30.382.367.246.983.300,6.023.229.286.832.730,6.103.761.904.761.900,2.605.170.073.363.630,1
2000-10-23,5.786,5.876,5.731,5.784,3.034.313.431.900.360,599.133.204.858.837,6.088.889.258.028.790,2.598.570.136.426.990,1
2000-10-30,5.783,6.044,5.771,598,4.526.262.056.463.090,5.989.821.108.776.580,6.083.824.641.376.290,26.599.580.231.512.000,1
2000-11-06,5.982,6.079,594,604,4.887.274.582.810.710,5.996.511.627.606.370,608.178.628.596.344,26.098.053.065.252.400,1
2000-11-13,6.042,6.052,5.941,5.966,44.936.329.557.134.000,5.992.443.410.592.190,6.076.400.877.313.970,2.586.345.393.759.420,1
2000-11-20,5.967,6.024,593,5.989,4.638.185.863.924.140,59.919.842.891.799,6.072.335.720.229.600,2.504.493.667.547.560,1
2000-11-27,5.988,6.143,5.952,0.61,52.819.203.434.117.100,6.006.386.383.955.910,6.073.622.430.916.600,2.506.936.340.447.900,1
2000-12-04,6.099,6.208,6.079,6.097,5.263.527.246.858.600,6.018.468.199.428.450,6.074.709.759.711.170,24.801.430.656.472.600,1
2000-12-11,6.098,6.179,0.6,607,5.091.676.662.624.920,602.533.910.617.133,6.074.490.701.119.960,25.238.717.289.511.300,1
2000-12-18,6.068,6.263,605,6.245,60.026.493.426.308.600,6.054.627.225.348.480,6.082.421.366.184.140,25.215.454.435.723.900,1
2000-12-25,6.246,631,0.62,6.294,621.450.385.165.351,6.086.543.595.302.020,6.092.262.232.873.250,2.448.041.976.898.910,1
2001-01-01,6.294,6.377,621,6.372,6.529.789.691.472.630,6.124.604.449.261.750,6.105.273.291.809.380,2.432.558.634.133.960,0
2001-01-08,6.369,6.448,6.289,642,6.711.314.235.254.880,6.163.990.522.693.510,6.119.911.743.353.130,24.188.187.251.571.100,0
